time,prices,market_caps,total_volumes
2020-12-25,2.3563055347761734,151190930.61505118,607195247.593989
2020-12-26,2.3563055347761734,151190930.61505118,607195247.593989
2020-12-27,1.6151615452992498,120805690.86217044,218163749.79942456
2020-12-28,1.0751653016340332,77402609.0919455,180779414.28121984
2020-12-29,1.1148117848985653,83352512.45479786,93000761.71774873
2020-12-30,0.8927881040726732,67198301.26542865,107025575.99727118
2020-12-31,1.0924165059449609,84683372.30820313,147059272.99761555
2021-01-01,1.3724358132287264,105520598.48909388,142844669.2307749
2021-01-02,1.1492748570755074,89704870.7730814,66077251.4011223
2021-01-03,1.0296297057087112,81241666.39342608,41981900.333782606
2021-01-04,1.1157015423813803,89104867.59637001,72161297.38251399
2021-01-05,1.010178833479938,80310080.18391708,61028849.51243311
2021-01-06,1.2577111005207333,99481155.85770051,76954678.39203718
2021-01-07,1.516462567214133,118454038.38521011,111939290.21857561
2021-01-08,1.3128644271305405,103888148.98827346,107017067.19006038
2021-01-09,1.1974359947214535,95380446.4171623,82882127.24991006
2021-01-10,1.2529689265238277,100632869.7566267,57582717.77817995
2021-01-11,1.2164059414205877,96594994.00958635,67380491.01262602
2021-01-12,1.1269078225063769,89092411.90081522,66590819.26757308
2021-01-13,1.1252437435565414,89229616.47464533,58076141.148504615
2021-01-14,1.2763370055659127,100862288.19554366,100549600.16588011
2021-01-15,1.3296163904527374,121650130.43751664,102293063.13303372
2021-01-16,1.3456836835842032,124547719.95047016,173939455.39626482
2021-01-17,1.6512222705814212,159152191.34084275,261832774.0919613
2021-01-18,2.027587824642955,196094003.07674497,394168705.36747587
2021-01-19,1.8723771859535099,179455119.5127606,235166442.5279794
2021-01-20,1.9180428985144014,185924978.40007773,208932211.08817303
2021-01-21,1.8670144206031825,179774155.50500932,178975516.13993582
2021-01-22,1.5655277488368347,153467553.56252587,162241653.8415881
2021-01-23,1.7660168590008252,168219488.49898234,179248156.16624394
2021-01-24,1.9290928771413423,185939028.0948255,171817562.4460831
2021-01-25,2.4728363633578,237006704.25547394,298082838.9804503
2021-01-26,2.404574980019496,231981670.41963407,372814310.49109054
2021-01-27,2.661684999965116,256395187.66003162,316232249.3572201
2021-01-28,2.5198690461729556,241984616.62519753,312085870.6833048
2021-01-29,3.1276878562458115,302128199.10690826,481495102.91191775
2021-01-30,3.3534910655318733,326156108.8449003,419424604.5766662
2021-01-31,4.580521819647275,441493489.5668087,734781618.6107141
2021-02-01,4.991270683240381,483138785.99444443,1039941104.8271292
2021-02-02,5.011209145585213,483375812.43571645,661205900.9950383
2021-02-03,4.665715582888708,450700373.82564056,299870559.8340165
2021-02-04,5.0240574081976135,483329713.8624212,382688262.4689196
2021-02-05,5.551383070515374,534315164.03253525,613447297.0859311
2021-02-06,5.819219195129979,561417527.329104,448044194.6223935
2021-02-07,5.25032308805284,503668573.1130203,381531574.8482204
2021-02-08,4.938769874630332,476167275.2747631,420824342.6488809
2021-02-09,5.348914628617141,514737002.85321665,385518717.4306564
2021-02-10,5.1208519040044,494584639.3044882,343626757.9427405
2021-02-11,4.890905534833622,472522735.0458615,364427673.8050241
2021-02-12,5.638933018993051,542978142.2769104,454039291.93822813
2021-02-13,5.291805015713897,511284266.22339135,427784979.64199245
2021-02-14,5.703165560106956,552381431.4579248,523092213.93941516
2021-02-15,5.272575770268371,508523536.9450362,428666274.1227883
2021-02-16,4.934572745002482,475471257.630978,418095379.85992664
2021-02-17,4.749919937516773,457453834.79798365,253315909.8330206
