date,prices,market_caps,total_volumes
2016-08-12,0.0114071,1118131.0,59592.0
2016-08-13,0.0135415,1327438.0,138909.0
2016-08-14,0.0253759,2487670.0,587393.0
2016-08-15,0.023839,2337034.0,252717.0
2016-08-16,0.0284529,2789391.0,209693.0
2016-08-17,0.0283746,2781751.0,155822.0
2016-08-18,0.0219943,2156276.0,119440.0
2016-08-19,0.0192305,1885343.0,76591.0
2016-08-20,0.0202079,1981193.0,39786.0
2016-08-21,0.0210103,2059888.0,17454.0
2016-08-22,0.0231539,2270080.0,37947.0
2016-08-23,0.0223829,2194518.0,121148.0
2016-08-24,0.0205314,2013015.0,25013.0
2016-08-25,0.0184574,1809692.0,36627.0
2016-08-26,0.0228609,2241472.0,50082.0
2016-08-27,0.0228268,2238158.0,78362.0
2016-08-28,0.0219486,2152079.0,44157.0
2016-08-29,0.0214132,2099610.0,45774.0
2016-08-30,0.021076,2066574.0,11244.0
2016-08-31,0.0218459,2142094.0,23241.0
2016-09-01,0.0220348,2160645.0,19360.0
2016-09-02,0.0229152,2247003.0,19079.0
2016-09-03,0.0220822,2165350.0,36417.0
2016-09-04,0.0219258,2150042.0,26142.0
2016-09-05,0.0228311,2238845.0,11591.0
2016-09-06,0.0250141,2452944.0,32172.0
2016-09-07,0.0269895,2646692.0,42777.0
2016-09-08,0.0267826,2626437.0,26734.0
2016-09-09,0.0289494,2838961.0,33463.0
2016-09-10,0.0416412,4083654.0,199031.0
2016-09-11,0.0390112,3825786.0,280056.0
2016-09-12,0.034699,3402937.0,148826.0
2016-09-13,0.0376719,3694539.0,82634.0
2016-09-14,0.0377346,3700737.0,74881.0
2016-09-15,0.0379396,3720891.0,82409.0
2016-09-16,0.0346147,3394849.0,67437.0
2016-09-17,0.0327448,3211500.0,62544.0
2016-09-18,0.036857,3614859.0,41810.0
2016-09-19,0.0360311,3533902.0,20809.0
2016-09-20,0.0359388,3524896.0,58441.0
2016-09-21,0.0352065,3453117.0,26258.0
2016-09-22,0.0345125,3385093.0,6261.0
2016-09-23,0.034964,3429423.0,24007.0
2016-09-24,0.0369228,3621598.0,43982.0
2016-09-25,0.0372013,3648963.0,37097.0
2016-09-26,0.0352984,3462359.0,36529.0
2016-09-27,0.0341789,3352593.0,32941.0
2016-09-28,0.0323214,3170433.0,26009.0
2016-09-29,0.0295784,2901408.0,44267.0
2016-09-30,0.0289519,2839991.0,44063.0
2016-10-01,0.0308437,3025604.0,27430.0
2016-10-02,0.0335251,3288678.0,17159.0
2016-10-03,0.0302718,2969582.0,36523.0
2016-10-04,0.0292421,2868608.0,31510.0
2016-10-05,0.028414,2787410.0,28897.0
2016-10-06,0.0277201,2719374.0,16160.0
2016-10-07,0.0305395,2996000.0,20035.0
2016-10-08,0.0289246,2837612.0,10133.0
2016-10-09,0.030074,2950411.0,29186.0
2016-10-10,0.0309087,3032339.0,18514.0
2016-10-11,0.0338165,3317657.0,39185.0
2016-10-12,0.0356587,3498437.0,45624.0
2016-10-13,0.0330406,3241620.0,13411.0
2016-10-14,0.0369495,3625171.0,22300.0
2016-10-15,0.0375502,3684155.0,47584.0
2016-10-16,0.0377206,3700922.0,16165.0
2016-10-17,0.035257,3459254.0,21923.0
2016-10-18,0.0372999,3659742.0,20396.0
2016-10-19,0.0368021,3610947.0,28136.0
2016-10-20,0.0361126,3543341.0,8609.0
2016-10-21,0.037704,3699537.0,11699.0
2016-10-22,0.0386705,3794420.0,48318.0
2016-10-23,0.038701,3797463.0,18525.0
2016-10-24,0.0398502,3910275.0,9305.0
2016-10-25,0.0407581,3999417.0,23361.0
2016-10-26,0.0453094,4446075.0,64821.0
2016-10-27,0.0502309,4929072.0,81385.0
2016-10-28,0.056241,5518906.0,101310.0
2016-10-29,0.0573871,5631447.0,138861.0
2016-10-30,0.0527556,5177022.0,54399.0
2016-10-31,0.0518576,5088967.0,16945.0
2016-11-01,0.0573703,5630021.0,53735.0
2016-11-02,0.0524835,5150524.0,38772.0
2016-11-03,0.0476654,4677756.0,28888.0
2016-11-04,0.0512396,5028585.0,16253.0
2016-11-05,0.0500141,4908380.0,11491.0
2016-11-06,0.0532549,5226504.0,7619.0
2016-11-07,0.0618828,6073337.0,60318.0
2016-11-08,0.0698049,6850923.0,133609.0
2016-11-09,0.0643425,6314905.0,88129.0
2016-11-10,0.0695488,6825967.0,24007.0
2016-11-11,0.0873053,8568805.0,129566.0
2016-11-12,0.0861331,8453867.0,127820.0
2016-11-13,0.0856923,8410712.0,127163.0
2016-11-14,0.111416,10935641.0,103725.0
2016-11-15,0.105501,10355211.0,242608.0
2016-11-16,0.0957101,9394331.0,219131.0
2016-11-17,0.0823492,8083011.0,82589.0
2016-11-18,0.0891092,8746656.0,89083.0
2016-11-19,0.0843141,8276079.0,223012.0
2016-11-20,0.0686204,6735711.0,56710.0
2016-11-21,0.071048,6974093.0,49386.0
2016-11-22,0.0681665,6691332.0,76826.0
2016-11-23,0.0647078,6351905.0,20869.0
2016-11-24,0.0680376,6678855.0,18829.0
2016-11-25,0.0671381,6590643.0,13093.0
2016-11-26,0.0611123,5999196.0,21517.0
2016-11-27,0.0580724,5700854.0,37423.0
2016-11-28,0.0540703,5308046.0,19296.0
2016-11-29,0.0628894,6173892.0,17329.0
2016-11-30,0.0570699,5602662.0,46357.0
2016-12-01,0.0594002,5831509.0,21077.0
2016-12-02,0.0493597,4845865.0,49645.0
2016-12-03,0.0616808,6055562.0,29843.0
2016-12-04,0.0592992,5821824.0,27698.0
2016-12-05,0.0631806376,6202976.121870157,24948.7700251124
2016-12-06,0.05803997625,5698350.242150986,40313.8493696568
2016-12-07,0.06264103,6150161.4720712,59467.64178961134
2016-12-08,0.062754627,6161394.493066877,11500.39980275492
2016-12-09,0.064420319984,6325019.122442022,21738.81431232722
2016-12-10,0.066156417491,6495562.492684018,7761.102375170726
2016-12-11,0.062772277575,6163371.965384964,14781.23319088481
2016-12-12,0.068494275675,6725281.624344788,14454.649968347478
2016-12-13,0.0652299813,6404852.02234989,12797.024858390569
2016-12-14,0.06556281485,6437617.445081356,13188.898118179386
2016-12-15,0.061371051925,6026107.053146369,15295.838405205188
2016-12-16,0.058631566,5757190.3049790505,18281.474505190108
2016-12-17,0.0575880574999999,5654798.435635721,33131.1849440362
2016-12-18,0.0549858962619999,5399353.554991673,22729.984324852085
2016-12-19,0.0726906995999999,7137975.190899383,142351.7371160436
2016-12-20,0.065409205127,6423042.005496275,22351.553878155068
2016-12-21,0.0611532588239999,6005196.996641399,33616.66319412044
2016-12-22,0.057637697741,5660045.89544846,29084.84523330825
2016-12-23,0.067617694524,6640173.431367519,14600.33232936444
2016-12-24,0.061142586741,6004385.629154183,9228.459780867375
2016-12-25,0.06537607125,6420210.529343522,11858.874528752836
2016-12-26,0.06715390872,6594887.8164216615,3500.947645857365
2016-12-27,0.06954425775,6829724.436454807,13481.550527871646
2016-12-28,0.0664552914,6526452.555210738,16933.92425110707
2016-12-29,0.069808458192,6855849.865533566,14631.054965766658
2016-12-30,0.07067603375,6941146.140260746,10844.317401999258
2016-12-31,0.069602619288,6835814.18557854,15805.034997444627
2017-01-01,0.0761412345,7478084.038273416,6998.891175118046
2017-01-02,0.0743913204119999,7306313.628953773,25078.97088837641
2017-01-03,0.075521297709,7417392.752306457,21552.9544519711
2017-01-04,0.0823824225,8091369.219518551,19488.115995654614
2017-01-05,0.0703373924999999,6908431.075139473,10054.259555414785
2017-01-06,0.06302929125,6190722.237720848,13349.53262279026
2017-01-07,0.0629155081199999,6179628.3383935625,22111.526372876597
2017-01-08,0.0598337206499999,5877009.249823732,33999.40942971014
2017-01-09,0.0554746387999999,5448920.395874843,22239.969320520253
2017-01-10,0.057627555856,5660462.870536913,11759.88093214582
2017-01-11,0.0480918963,4723885.378548571,9407.043366187268
2017-01-12,0.0492847053749999,4841112.756521642,15231.622914993772
2017-01-13,0.0513662752399999,5045645.882207829,3362.095198053882
2017-01-14,0.05070515,4980769.97751415,7800.300866926589
2017-01-15,0.05159966675,5068704.6148046125,17539.479433271757
2017-01-16,0.0588100099999999,5777061.8938162895,26848.76287889841
2017-01-17,0.05853483285,5750107.25809693,13913.819300688918
2017-01-18,0.0586847352499999,5764907.17370868,16872.803327005407
2017-01-19,0.0735360111,7223920.060281107,67742.93990838449
2017-01-20,0.0683481461959999,6714370.7645438,17996.27600398186
2017-01-21,0.076489577675,7514265.357932652,14771.038437329997
2017-01-22,0.0743198149069999,7301206.635033898,11975.656506474625
2017-01-23,0.08738810325,8585151.541038467,77504.34583556485
2017-01-24,0.074370827648,7306410.468901841,25753.87590132749
2017-01-25,0.075016060248,7369896.877083816,25977.31351569076
